Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
BENACO;VIA BENACO, SALIONZE;876;Sì;PARCO GIOCHI
PASTRENGO;VIA PASTRENGO, SALIONZE;1580;No;PARCO
DEL BUE;VICOLO AGIDE DEL BUE, SALIONZE;1064;No;PARCO
DEL BUE;VICOLO AGIDE DEL BUE, SALIONZE;201;Sì;PARCO GIOCHI
"SCUOLA DELL'INFANZIA ""GASILDA POLI""";VICOLO AGIDE DEL BUE, SALIONZE;2283;Sì;SCUOLA
TEODORICO;VICOLO TEODORICO, SALIONZE;158;No;AREA CANI
PACINOTTI;VIA ANTONIO PACINOTTI, VALEGGIO SUL MINCIO;6617;No;PARCO
VOLTA;VIA ALESSANDRO VOLTA, SAN GRAZIANO;1690;No;PARCO
VOLTA;VIA ALESSANDRO VOLTA, SAN GRAZIANO;527;No;PARCO
ARMONIA;VIA DELL'ARMONIA, LOCALITA' FORONI;367;Sì;PARCO GIOCHI
CONCORDIA;VIA DELLA CONCORDIA, LOCALITA' FORONI;511;Sì;PARCO GIOCHI
FERMI;VIA ENRICO FERMI, LOCALITA' FORONI;995;Sì;PARCO GIOCHI
SAN GRAZIANO;VIA DELL'ARTIGIANATO, SAN GRAZIANO;3872;No;PARCO
SAN GRAZIANO;VIA DELL'ARTIGIANATO, SAN GRAZIANO;3655;No;PARCO
SAN GRAZIANO;VIA DELL'ARTIGIANATO, SAN GRAZIANO;3218;No;PARCO
IMPRENDITORI;IMPRENDITORI, VALEGGIO SUL MINCIO;1425;No;PARCO
PIGOZZI;VIA DON LEONE PIGOZZI, LOCALITA' VANONI-REMELLI;778;Sì;PARCO GIOCHI
PIGOZZI;VIA DON LEONE PIGOZZI, LOCALITA' VANONI-REMELLI;322;Sì;PARCO GIOCHI
"ASILO NIDO ""GLI GNOMI""";LOCALITA' VANONI-REMELLI;1301;Sì;SCUOLA
