ID Località;Codice località;Nome località;Descrizione;Classificazione;Classificazione ISTAT;Superficie totale (m²)
66;V22;VILLAFRANCA - VIALE OLIMPIA;;Giardini nel centro urbano;2 - Parchi urbani;8894
70;V26;VILLAFRANCA - ZONA TIONE - VIA OLIMPIA - EMMAUS;;Parchi del centro urbano;2 - Parchi urbani;21809
71;V27;VILLAFRANCA - ZONA TIONE - DA VIA OLIMPIA A VIA N.BIXIO LATO MURAGLIE;;Parchi del centro urbano;2 - Parchi urbani;16396
75;V31;VILLAFRANCA - ZONA TIONE - VIA PERUGIA - VIA MURAGLIE;;Parchi del centro urbano;2 - Parchi urbani;1713
76;V32;VILLAFRANCA - VIA DANTE;;Verde attrezzato di quartiere;1 - Verde attrezzato;1267
77;V33;VILLAFRANCA - VIA GREZZANO (INTERNA) ;FRESATURA LUNGO LA FERROVIA;Campo ;6 - Campo;2149
82;V38;VILLAFRANCA - VIA BELGIO ;AIUOLA DEBORTOLI LATO CABINA ENEL;Area verde zona zai;8 - Area verde ZAI;319
83;V39;VILLAFRANCA - VIA BELGIO AIUOLA DEBORTOLI PILONE TELEFONICO;;Area verde zona zai;8 - Area verde ZAI;821
48;V4;VILLAFRANCA - VIA ORIENTALE;;Giardini nel centro urbano;2 - Parchi urbani;377
84;V40;VILLAFRANCA - VIA ADAMELLO ;ANGOLO VIA BELGIO FIANCO ORTOMBINA;Area verde zona zai;8 - Area verde ZAI;153
85;V41;VILLAFRANCA - PARCHEGGIO VIA OLANDA ;AIUOLE FRONTE PASTAIO;Parchi del centro urbano;1 - Verde attrezzato;526
87;V43;VILLAFRANCA - VIA TOFANE;DIETRO PALESTRA;Area verde zona zai;8 - Area verde ZAI;2063
88;V44;VILLAFRANCA - VIA ADAMELLO;ANGOLO VIA BELGIO FIANCO ORTOMBINA;Area verde zona zai;8 - Area verde ZAI;4868
49;V5;VILLAFRANCA - VIA ESPERANTO;;Verde attrezzato di quartiere;1 - Verde attrezzato;4859
96;V52;VILLAFRANCA - VIALE DEL LAVORO ;PIAZZALE PRE TECNO;Area verde zona zai;8 - Area verde ZAI;6141
97;V53;VILLAFRANCA - VIALE DEL LAVORO ;ZONA NUOVA VICINO FERROVIA;Area verde zona zai;8 - Area verde ZAI;1943
98;V54;VILLAFRANCA - VIALE DEL LAVORO ;ANGOLO CENTRO REVISIONI ;Area verde zona zai;8 - Area verde ZAI;541
99;V55;VILLAFRANCA - VIA PASUBIO;PIP;Area verde zona zai;8 - Area verde ZAI;2587
100;V56;VILLAFRANCA - VIA PASUBIO NUOVO;;Area verde zona zai;8 - Area verde ZAI;4660
101;V57;VILLAFRANCA - VIA PASUBIO;LATO RENCAR;Area verde zona zai;8 - Area verde ZAI;805
102;V58;VILLAFRANCA - VIA PASUBIO ;VICINO OFFICINA FACCIOLI;Area verde zona zai;8 - Area verde ZAI;3428
104;V60;VILLAFRANCA - P.ZZA QUARTIERE MADONNA DEL POPOLO;AIUOLE;Verde attrezzato di quartiere;1 - Verde attrezzato;3334
105;V61;VILLAFRANCA - VIA BOTTAGISIO ;AREA CONFINANTE BRETELLINA;Verde attrezzato di quartiere;1 - Verde attrezzato;13876
112;V69;VILLAFRANCA - VIA CAVALIERI DI VITTORIO VENETO;;Verde attrezzato di quartiere;1 - Verde attrezzato;581
113;V70;VILLAFRANCA - VIA EINAUDI;;Giardini nel centro urbano;1 - Verde attrezzato;579
119;V76;VILLAFRANCA - VIA MARTINELLI;;Verde attrezzato di quartiere;1 - Verde attrezzato;1667
121;V78;VILLAFRANCA - VIA BUOZZI;;Verde attrezzato di quartiere;1 - Verde attrezzato;1151
122;V79;VILLAFRANCA - VIA VOLTURNO VIA CRISPI;;Campo ;6 - Campo;4731
52;V8;VILLAFRANCA - VIA BRESAOLA;;Verde attrezzato di quartiere;1 - Verde attrezzato;358
123;V80;VILLAFRANCA - VIA DELLA SPERANZA;;Parchi del centro urbano;2 - Parchi urbani;2691
124;V81;VILLAFRANCA - VIA DELLA SPERANZA ;ZONA ANTISTANTE BAITA ALPINI ;Parchi del centro urbano;2 - Parchi urbani;311
126;V83;VILLAFRANCA - VIA MAGENTA;;Giardini nel centro urbano;2 - Parchi urbani;7367
127;V84;VILLAFRANCA - VIA LABRIOLA;;Verde attrezzato di quartiere;1 - Verde attrezzato;1577
130;V87;VILLAFRANCA - VIA OLMO;;Giardini nel centro urbano;2 - Parchi urbani;409
131;V88;VILLAFRANCA - VIA MONTALE;;Verde attrezzato di quartiere;1 - Verde attrezzato;3009
132;V89;VILLAFRANCA - VIA SOLFERINO;;Giardini nel centro urbano;2 - Parchi urbani;553
133;V90;VILLAFRANCA - VIA CADUTI SUL LAVORO;;Giardini nel centro urbano;2 - Parchi urbani;451
134;V91;VILLAFRANCA - VIA COLLODI;;Verde attrezzato di quartiere;1 - Verde attrezzato;8147
135;V92;VILLAFRANCA - VIA COLLODI;;Campo ;6 - Campo;4911
140;V97;VILLAFRANCA - VIA S.D'ACQUISTO;;Verde attrezzato di quartiere;1 - Verde attrezzato;602
